post_id,1,2,3,4,5,6,7,8
69060628000000000400732e,0,0,0,0,0,1,1,0
690b6802000000000700b5e9,0,0,0,0,1,0,0,0
690db921000000000700391f,0,0,1,0,1,0,1,0
68f3b8f5000000000700322e,0,0,1,0,0,0,0,0
68ee072a000000000400549e,0,0,0,1,1,0,0,0
690de9c7000000000401502d,0,0,1,0,0,0,0,0
69083d090000000007008d11,0,0,0,1,1,0,0,0
69097ba90000000005010927,0,0,1,0,1,0,0,0
690466d9000000000301c66a,0,0,0,0,0,1,0,0
69007c740000000007001957,0,0,1,0,0,0,0,0
68eb873800000000040078d9,0,0,1,1,0,0,0,0
690b8065000000000300d129,0,0,1,1,0,0,0,1
68f99c5900000000030399f2,0,1,0,0,0,0,0,0
68ecb9fe0000000007036a9d,0,0,0,1,0,0,0,0
68e7d09d000000000301cf5f,1,1,1,0,0,1,0,0
68ecbb9200000000040168cc,0,0,1,1,0,0,0,0
68e7cb4b000000000302047d,0,1,0,0,0,0,0,1
68ec6216000000000300c1a7,0,0,1,0,1,0,0,0
68e8d7c60000000003023916,0,0,0,1,0,0,0,0
68fb9cc0000000000301912f,0,0,1,0,1,0,0,0
68ec7c130000000007033614,0,1,1,0,0,0,0,0
690de3d20000000007000bf0,0,1,1,0,0,0,0,0
690dc5fe000000000700c0ba,0,0,1,0,1,0,0,0
68fe097f0000000003023094,0,0,0,0,0,1,0,0
690deb63000000000302cdd4,0,1,0,0,0,1,0,0
690c386f00000000030359af,0,0,1,1,0,0,0,0
690876330000000005031a7d,0,0,1,0,0,0,0,0
69097241000000000302e382,0,1,0,0,0,0,0,0
68fedb9f0000000007017125,0,1,1,0,0,0,0,0
68f1edc4000000000503030f,0,1,0,0,0,0,0,0
68fb2cd6000000000402969c,0,0,1,0,1,0,0,0
690daf9d0000000003013986,0,1,0,0,0,1,0,1
690dd10a0000000003021319,0,1,0,0,0,0,0,1
690d909c000000000700e419,0,1,0,0,0,1,0,0
6903489a000000000402a738,0,0,0,0,0,0,0,0
6908c1950000000005039ce4,0,0,1,0,0,1,0,0
68fc47ec00000000040178f8,0,0,1,0,0,0,0,0
690acb79000000000301274e,0,0,1,0,0,0,0,0
690aa5ff000000000300f702,0,1,0,0,0,0,0,0
690855500000000005010e87,0,0,1,0,0,1,0,0
690c854e0000000004015694,0,0,1,0,1,0,0,0
69087a27000000000703368d,0,1,1,0,0,1,0,0
6904aacb0000000004013342,0,0,1,0,1,0,0,0
69104af10000000004001773,0,0,1,0,0,1,0,0
690a12b900000000030375f6,0,0,1,0,0,0,0,0
69073a04000000000300edac,0,0,1,0,1,0,0,0
643bc59b000000002702906e,0,1,0,0,1,0,0,0
690b11f50000000007014ac3,0,1,0,0,0,0,0,0
68fe28dd000000000701500a,0,0,1,1,1,0,0,0
690f2e5b00000000050312a7,0,0,1,0,1,0,0,0
691151f4000000000302eaa6,0,0,1,1,0,0,0,0
690a27140000000007020ef4,0,0,1,0,1,0,0,0
690f59da0000000007000a57,0,1,0,1,0,0,0,0
6911d0520000000003036a4e,0,0,1,0,1,0,0,0
692717e7000000001e038566,1,0,0,0,0,0,0,0
621b877900000000010295c0,0,1,0,1,0,0,0,1
67766d2d000000000900d034,0,1,1,0,0,0,0,0
65ce4d3e000000000700471d,0,1,1,0,0,1,0,1
6630deed000000001e018dd5,0,0,1,0,1,1,1,0
656d9b72000000003803510e,0,1,0,0,0,0,0,1
6901dbaa0000000007017216,0,1,0,0,0,0,0,0
690db30a000000000503077c,0,0,0,0,0,0,0,0
6909cd420000000005033057,0,0,0,0,0,0,0,0
6900a39b000000000303a4e2,0,0,1,0,0,0,0,0
690d4a88000000000302e6a1,0,0,1,0,0,0,0,0
6909681f000000000301d294,0,0,0,0,0,0,0,0
691059d000000000070011e2,0,0,0,0,0,0,0,0
69031cb7000000000400319c,0,0,0,0,0,0,0,0
677950f1000000001301badc,0,0,1,0,1,0,0,0
68ff3784000000000301d0ce,0,0,1,0,0,1,0,0
69076a10000000000700bf35,0,0,0,0,0,0,0,0
690c01cd000000000300e280,0,0,0,0,1,0,0,0
69070eb40000000007009d15,0,0,0,0,0,0,0,0
690e8663000000000303794d,0,0,1,0,0,0,0,0
690b52c2000000000402946a,0,1,0,0,0,1,0,0
6904342b000000000402acbd,0,0,0,0,0,1,0,0
68e8d817000000000303a064,0,0,1,0,0,0,0,0
690b4825000000000303a495,0,0,0,0,1,0,0,0
6909fe010000000005000417,0,1,0,0,0,1,0,0
690899c80000000003037af9,0,0,1,0,0,0,0,0
69048581000000000503aa01,0,0,0,0,0,0,0,0
690c03070000000003036dcf,0,0,1,0,0,0,0,0
690d87320000000004013c7b,0,0,1,0,0,0,0,0
6900ac3d0000000005001c15,0,1,0,0,0,0,0,0
690b03fa000000000402863e,0,0,1,0,0,0,0,0
691064ff00000000030355d3,0,0,0,0,0,0,0,0
690cd42a00000000070239da,0,0,0,0,0,1,0,0
6909cf51000000000301003f,0,0,0,0,0,1,0,0
69034c600000000005031e68,0,0,1,0,0,0,0,0
6901b5070000000004000573,0,0,0,0,0,0,0,0
68ee1c790000000007036e4b,0,0,1,0,0,1,0,0
