post_id,title,1,2,3,4,5,6,7,8
5ff2832600000000010063f0,Girl’s talk真心话碎碎念✈️ 错过再等一年,2,0,0,0,0,2,0,0
61f68f2f000000002103c81b,快来捡漏手慢无🙊 发现2⃣个清宝藏铺,0,2,0,0,0,0,0,0
66134305000000001a014ba6,不看会后悔，熬夜整理出的10位宝藏读书博主,2,2,0,0,0,0,0,0
68a462e0000000001d02702d,看完马上删嘿嘿🤤🤤🤤,0,0,0,0,0,0,0,0
68e215000000000004015ed9,节后必涨代码｜错过拍断大腿！,2,0,0,0,0,0,0,0
68f848c40000000004006d98,双十一朋友圈高级文案模板🔥错过等一年！,2,0,0,0,0,0,0,0
69007727000000000703bd4e,手慢无了,0,0,0,0,0,0,0,0
692717e7000000001e038566,🌛🪐记住这个日期！11月29日！错过要等一年💖,2,0,0,0,0,0,0,0
69297a0e000000001e026154,一分钟学会画白云，不学就亏了！,2,1,0,0,0,0,0,0
6961ffd1000000000b00b0f6,建行200立减，一天拿下🎉,0,0,0,0,0,0,0,0
69670ded000000000e03d565,错过等一年！！switch精品游戏大推荐！！！,2,0,0,0,2,0,0,0
696fb525000000000b013439,限时接无偿啦【龟速还中】,0,0,0,0,0,0,0,0
69739aed000000002103f80c,仅限今日|2026免单线索第一弹🔍,0,0,0,0,0,0,0,0
69799fb7000000002800b8bb,是谁还没用上呀 🌏wallpaper,0,0,0,0,0,0,0,0
697b02f4000000000a02c3b5,到底谁还没用过这个宝藏小程序？,0,0,0,0,0,0,0,0
697b3b0b0000000022022afd,「影卫」限时分享,0,0,0,0,0,0,0,0
66ab7dc5000000002701f661,小破站百万播放‼️雷军人生访谈建议反复观看,0,0,0,0,0,0,0,2
66df214a000000000c01a4e7,美教论文带读24｜尹少淳谈数字技术赋能美育,0,0,0,0,0,0,0,0
675aa779000000000102a9fc,行业大佬们的冬日严选！极地极寒轻松拿捏,0,0,0,0,0,0,0,2
67d813b1000000000602b73e,8个家庭教育高客单老师，快去模仿她们吧,0,0,0,0,0,0,0,2
67dabb85000000001c0099c5,历史上“专家”们的建议，不愧是专家…,0,0,0,2,0,0,0,2
680cee10000000001d020af7,她是被官方认定拥有老奸巨猾标签的颜值美女,0,0,0,0,0,0,0,1
685ab0aa000000001202c475,学习｜过敏性鼻炎专家共识2025年,0,0,0,0,0,0,0,2
688e2788000000002502b0b8,哈佛医学院：每天10分钟，改变大脑结构,0,2,0,0,0,0,0,2
6957c8d5000000001e039245,哈佛研究 逆龄行为清单,0,2,0,0,0,0,0,2
696f6946000000000a032a5e,央妈亲自下场力挺了,0,0,0,0,0,0,0,2
6970a8df000000000a03365b,提醒！抢票“加速包”会降低购票成功率,0,0,0,0,0,0,0,2
697198eb0000000022038c3a,央视实锤！长白山亡魂托梦寻尸案，细节诡异,0,0,0,2,0,0,0,2
67b10fda000000001800d45a,天象奇观：罕见的日晕照片,0,0,0,2,0,0,0,0
6888cb79000000002501d0ab,每日一家公司职场内幕——鹰角网络（上海）,0,0,0,0,0,0,0,0
689f0dd7000000001d01daf5,猎奇,0,0,0,2,0,0,0,0
6909d0a00000000005011493,你没见过的那些视觉错位图！,0,0,1,2,0,0,0,0
692a8fac000000001d03dead,首次公开道术真传(相信科学),0,0,0,2,0,0,0,0
65f2c3a8000000001203f8ba,你见过哪些前后差异很大的美女图片,0,0,0,0,2,0,0,0
66746591000000001d01603f,恋爱前后的对比，你们也是这样么？,0,0,2,0,2,0,0,0
66d14c4c000000001d038427,正脸和侧脸差别巨大,0,0,0,0,2,0,0,0
672b3d32000000001d0398be,穿同一件衣服，能有多大差别？,0,0,0,0,2,0,0,0
677950f1000000001301badc,当夫妻颜值差距过大,0,0,2,0,2,0,0,0
679b76b1000000002803556e,现在化的妆VS大一化的妆,0,0,1,0,2,0,0,0
6804d2d3000000001c01e2a0,月薪3k和月薪5w交换干饭,0,0,0,0,2,0,2,0
681c83da000000002100df1c,沃趣！体育生和舞蹈生可以一眼区别😅,0,0,0,0,2,2,1,0
683dcf32000000000303c4b9,男女审美差异这么大吗,0,0,1,0,2,0,1,0
68594afc000000001d00fb0d,以前的歌词vs现在的歌词,0,0,0,0,2,0,0,0
68dd3089000000000301bf33,以前的kpop🆚现在的kpop,0,0,0,0,2,0,1,0
691ee88d000000001e00380a,女朋友刚在一起时VS现在,0,0,0,0,2,0,0,0
69269973000000001f00d77b,以前的恋爱观VS现在的恋爱观…,0,0,0,0,2,0,0,0
6926fb97000000001f005d50,角度一样，画风却不一样,0,0,0,0,2,0,0,0
647b2a4a000000000800da24,室友手机看起来好漂亮,0,0,0,0,0,0,0,0
6630deed000000001e018dd5,在清华😇人和人的差距比人和狗还大,0,0,2,0,1,1,2,0
6665ab23000000000c01988d,别人21岁VS我21岁哈哈哈哈搞笑图片梗图合集,0,0,0,0,2,0,2,0
666ae0540000000006004c1d,这一刻终于感受到了教育资源的差距……,0,0,0,0,0,0,2,0
66fb87a3000000001902e302,其实很羡慕那些有自己热爱的人,0,0,0,0,0,2,2,0
67b94acc0000000007037f7c,我也想被辞退 这正常吗,0,0,0,0,0,2,2,0
67ba9e5b000000002a00d99e,"别人家的天花板,专属总裁的家",0,0,0,0,1,0,0,0
67bef0bd000000000b0169b0,这一刻，教育的不平等彻底具象化了,0,0,0,0,2,0,2,0
68542116000000001c035259,#友好对比 北上之下前五城,0,0,0,0,0,0,2,0
6861ec5f000000001c032b4a,我跟你们这些天赋型选手拼了！！,0,0,0,0,0,0,2,0
690714a50000000007015a3f,我消耗199，朋友消耗600大卡,0,0,0,0,2,0,2,0
6913ff540000000003034887,从一篇法律意见书，看出老板和我的思维差距,0,0,0,0,0,0,2,0
69257076000000001f00bfea,震撼！AI模型智商榜单出炉,0,0,0,0,2,0,0,0
6925f2a8000000001b0323a0,学习跟好的比，吃穿和差的比,0,0,0,0,0,0,2,0
694f66dd000000001e0318d6,别人的青春vs我的青春,0,0,0,0,2,0,2,0
695a04d60000000022022237,同样一句话，心态不同差别这么大？😱,0,0,0,0,2,0,0,0
695e0bde000000001a031b26,瞧瞧别人家的异常处理，那叫一个优雅！,0,0,0,0,0,0,2,0
696fa29a000000001a023e48,原创｜分别用即梦和Geimni出的长图,0,0,0,0,0,0,0,0
69760bf8000000000a032f28,富强村赏梅完胜雁鹅岭！！！,0,0,0,0,0,0,2,0
6976e5ea000000000a03d5f2,香港private banking的优势是碾压级的,0,0,0,0,0,0,2,0
6976fe3d000000000b0118c6,同为95后，人与人之间的差距有多大呢😂,0,0,2,0,0,0,2,0
6978cbdd0000000022021f95,编制内外，最大的差距不是收入,0,0,0,0,2,2,2,0
697ad821000000001a03021f,辽宁舰VS维克拉玛蒂亚号：战力对比？,0,0,0,0,0,0,2,0
65ce4d3e000000000700471d,留学博主必看‼️甜妹讲干货！日常吸粉76w,0,2,2,0,0,2,0,2
67dd134f00000000090382c4,人，点进来认领你的专属🐱🐈身份,0,2,2,0,0,2,0,0
67ebcf37000000001c02f2dc,人，点进来认领你专属的🪳🐭身份,0,2,0,0,0,0,0,0
6921b57c000000001d03d660,防止人精套话技巧 3.0,0,2,0,0,0,0,0,0
67fe97b4000000001c0089b1,妇科医生让我把肉当主食，多吃粗粮少吃水果,0,0,0,0,0,0,0,2
67766d2d000000000900d034,一定要看到最后，有惊xi,0,1,2,0,0,0,0,0
67c5a4100000000029014b40,女生越混越差的7个原因，看看你中招了没,0,0,1,0,0,1,0,0
6909f256000000000700b46a,今天看到这个真的惊了,0,0,2,1,0,0,0,0
692aa126000000001d03b196,主人最怕小奶狗撒娇了、小奶狗刚落地就被风,0,0,0,0,0,0,0,0
621b877900000000010295c0,太爽了吧！超厉害的省钱秘密！看完省下一个亿,0,2,0,2,0,0,0,1
